x1,y1,x2,y2
853.62915,16.87283,853.5273,51.87253
526.8892,129.43965,518.1105,129.33412
351.1768,200.62534,351.12473,286.87454
248.89056,286.87524,248.91895,200.62485
169.67834,143.13055,169.31224,163.12386
1151.3378,14.342619,1150.7257,48.126823
454.36548,87.814804,465.62698,87.92881
134.4532,140.63702,134.8605,95.61808
1179.3748,157.84152,1234.3757,157.79929
1234.3734,160.40671,1179.3763,160.8129
1243.6272,160.62497,1243.6354,288.12506
469.4336,89.714134,459.09433,91.50066
583.80896,245.53455,585.8188,232.95624
378.18594,48.12539,378.40057,14.368805
840.1149,138.12956,840.3696,96.87342
834.1589,163.12515,834.0969,73.12433
22.314209,51.740902,7.2918386,19.84007
1118.3326,163.12514,1118.3873,78.12437
887.1523,198.33781,885.154,189.20456
873.1261,190.34717,800.62476,190.4269
296.8766,134.95332,264.37454,134.92627
153.56447,125.590996,154.73296,140.69402
1133.7147,140.6503,1132.8978,119.3358
983.0107,48.125057,982.9941,14.374449
850.37714,48.126343,850.201,15.613751
137.98985,98.123856,137.95686,138.12589
1035.1692,276.87424,1035.3118,191.87448
734.1888,76.8582,734.07,69.34033
534.34314,252.89012,545.5821,253.24263
514.3075,125.12257,528.0582,126.36451
1134.3518,152.63417,1155.6134,152.87968
245.44289,26.876196,245.45688,14.376211
246.0115,48.162968,245.29355,31.834612
139.37569,190.67953,96.87427,190.6551
198.13155,190.42966,161.86742,190.65498
776.872,190.67482,766.8332,190.07646
1034.3744,190.71114,999.36743,190.47003
1133.1268,190.48625,1096.8728,190.54614
718.46185,48.127167,718.687,13.120575
765.62787,190.51125,741.87805,190.5717
883.4101,51.906597,884.23413,11.8721
360.62503,187.64372,436.8751,187.64061
1075.6201,190.58797,1040.6206,190.72014
1174.3751,190.70653,1139.3751,190.75047
636.84045,80.97405,629.30365,81.26284
290.62317,187.7896,338.13538,187.53125
653.1725,190.43358,644.3281,190.83028
975.62506,190.64024,940.6255,190.75949
1154.3966,155.7074,1123.1342,155.12877
1241.8771,190.68109,1196.8732,190.7522
480.49634,10.624644,480.39276,48.12781
233.12555,75.87127,184.37299,75.98101
720.62756,76.00132,658.12616,75.92623
1066.8748,75.883995,1034.3748,75.847206
260.1379,163.1236,260.38528,76.87431
338.12195,190.94841,303.12506,190.61739
436.8751,190.6647,403.1252,190.73427
678.1166,190.61084,655.6176,190.45781
590.6055,227.85136,584.0931,258.06424
688.9785,288.1283,688.1596,189.35399
1116.8792,75.892494,1073.1227,76.01152
283.1245,190.74303,261.86963,190.65349
