0,1,2,3
44.7,4.8,44.8,4.9
44.8,4.9,45.0,4.9
45.0,4.9,45.1,4.8
45.1,4.8,44.9,4.6
19.0,4.8,19.1,4.9
19.1,4.9,19.3,4.9
19.3,4.9,19.4,4.8
19.4,4.8,19.2,4.6
19.2,4.6,19.1,4.6
19.1,4.6,19.0,4.7
15.9,4.8,16.0,4.9
16.0,4.9,17.0,4.9
17.0,4.9,17.1,4.8
17.1,4.8,17.6,4.8
17.6,4.8,17.7,4.7
17.7,4.7,17.6,4.6
17.6,4.6,17.0,4.6
17.0,4.6,16.9,4.7
16.9,4.7,16.8,4.6
16.8,4.6,16.7,4.7
16.7,4.7,16.0,4.7
15.4,4.8,15.5,4.9
15.5,4.9,15.6,4.8
15.6,4.8,15.5,4.7
15.0,4.8,15.1,4.9
15.1,4.9,15.2,4.9
15.2,4.9,15.3,4.8
15.3,4.8,15.3,4.7
15.3,4.7,15.2,4.6
15.2,4.6,15.1,4.6
15.1,4.6,15.0,4.7
12.5,4.8,12.6,4.9
12.6,4.9,14.7,4.9
14.7,4.9,14.9,4.7
14.9,4.7,14.8,4.6
14.8,4.6,13.6,4.6
13.6,4.6,15.0,4.6
15.0,4.6,15.1,4.5
15.1,4.5,15.0,4.4
15.0,4.4,12.8,4.4
12.8,4.4,12.7,4.5
12.7,4.5,12.8,4.6
12.8,4.6,13.4,4.6
13.4,4.6,13.4,4.7
13.4,4.7,12.8,4.7
12.8,4.7,12.7,4.6
12.7,4.6,12.6,4.6
12.6,4.6,12.5,4.7
113.3,4.9,113.4,5.0
113.4,5.0,113.9,5.0
113.9,5.0,114.0,4.9
114.0,4.9,113.9,4.8
113.9,4.8,113.8,4.8
113.8,4.8,113.8,4.7
113.8,4.7,113.7,4.6
113.7,4.6,113.6,4.6
113.6,4.6,113.5,4.7
113.5,4.7,113.5,4.8
113.5,4.8,113.4,4.8
73.6,4.9,73.7,5.0
73.7,5.0,74.3,5.0
74.3,5.0,74.4,4.9
74.4,4.9,74.3,4.8
74.3,4.8,74.2,4.8
74.2,4.8,74.1,4.7
74.1,4.7,74.0,4.7
74.0,4.7,73.9,4.6
29.7,5.0,30.4,5.0
30.4,5.0,30.5,4.9
30.5,4.9,30.4,4.8
30.4,4.8,30.8,4.8
30.8,4.8,30.9,4.7
30.9,4.7,30.8,4.6
30.8,4.6,30.3,4.6
30.3,4.6,30.2,4.7
30.2,4.7,30.2,4.8
30.2,4.8,30.1,4.8
30.1,4.8,30.1,4.7
30.1,4.7,30.0,4.6
30.0,4.6,29.5,4.6
29.5,4.6,29.4,4.7
111.1,5.0,111.2,5.1
111.2,5.1,111.5,5.1
111.5,5.1,111.6,5.0
111.6,5.0,111.5,4.9
111.5,4.9,111.2,4.9
62.5,5.0,62.6,5.1
62.6,5.1,62.7,5.1
62.7,5.1,62.8,5.0
62.8,5.0,62.7,4.9
62.7,4.9,62.6,4.9
39.8,5.1,39.9,5.2
39.9,5.2,40.0,5.2
40.0,5.2,40.1,5.1
40.1,5.1,40.2,5.2
40.2,5.2,40.4,5.0
40.4,5.0,40.4,4.9
40.4,4.9,40.3,4.8
40.3,4.8,40.1,4.8
40.1,4.8,39.9,4.6
39.9,4.6,39.8,4.6
39.8,4.6,39.7,4.7
39.7,4.7,39.7,4.8
39.7,4.8,39.6,4.8
39.6,4.8,39.5,4.9
39.5,4.9,39.5,5.0
39.5,5.0,39.6,5.1
39.6,5.1,39.7,5.1
39.7,5.1,39.8,5.0
24.9,5.1,25.0,5.2
25.0,5.2,25.2,5.2
25.2,5.2,25.3,5.1
25.3,5.1,25.3,4.7
25.3,4.7,25.1,4.5
25.1,4.5,24.9,4.7
61.9,5.2,62.0,5.3
62.0,5.3,62.1,5.3
62.1,5.3,62.2,5.2
62.2,5.2,62.1,5.1
62.1,5.1,62.0,5.1
27.8,5.2,27.9,5.3
27.9,5.3,28.0,5.2
28.0,5.2,28.0,5.0
28.0,5.0,27.9,4.9
27.9,4.9,27.6,4.9
27.6,4.9,27.5,5.0
27.5,5.0,27.6,5.1
27.6,5.1,27.8,5.1
74.1,5.3,74.2,5.4
74.2,5.4,74.4,5.2
74.4,5.2,74.4,5.1
74.4,5.1,74.3,5.0
74.3,5.0,74.2,5.0
74.2,5.0,74.1,5.1
74.1,5.1,74.0,5.1
74.0,5.1,73.9,5.0
73.9,5.0,73.7,5.0
73.7,5.0,73.6,5.1
73.6,5.1,73.6,5.2
73.6,5.2,73.7,5.3
29.6,5.3,29.7,5.4
29.7,5.4,29.8,5.4
29.8,5.4,29.9,5.3
29.9,5.3,30.2,5.3
30.2,5.3,30.3,5.4
30.3,5.4,30.4,5.4
30.4,5.4,30.5,5.3
30.5,5.3,30.5,5.1
30.5,5.1,30.4,5.0
30.4,5.0,30.3,5.0
30.3,5.0,30.2,5.1
30.2,5.1,29.9,5.1
29.9,5.1,29.8,5.0
29.8,5.0,29.7,5.0
29.7,5.0,29.6,5.1
19.7,5.3,19.8,5.4
19.8,5.4,20.0,5.4
20.0,5.4,20.1,5.3
20.1,5.3,20.4,5.3
20.4,5.3,20.5,5.2
20.5,5.2,20.5,5.1
